username,display_name,platform,followers_count,posts_count,account_age_days,has_profile_pic,has_bio,is_verified,has_url,avg_likes_per_post,avg_retweets_per_post,posting_frequency_per_day
user_97628,Fake User 49,LinkedIn,174,14,144,1,0,0,0,18.5,0.5,1.85
user_55004,Fake User 50,LinkedIn,216,6,69,0,0,0,1,4.3,4.1,0.14
user_38703,Fake User 51,Facebook,72,31,37,1,0,0,0,22.9,7.2,0.35
user_44304,Fake User 52,LinkedIn,210,23,154,1,0,0,0,3.3,6.1,1.7
user_42627,Fake User 53,Instagram,407,15,52,0,0,0,1,21.2,9.2,1.76
user_43175,Fake User 54,Facebook,478,25,83,0,1,0,0,20.4,1.4,0.07
user_74560,Fake User 55,Instagram,678,11,76,1,0,0,0,17.9,3.1,0.46
user_11322,Fake User 56,LinkedIn,75,3,152,1,0,0,0,17.0,5.4,0.16
user_31161,Fake User 57,LinkedIn,475,10,178,1,0,0,0,18.4,0.4,0.84
user_10734,Fake User 58,Instagram,531,6,45,0,0,0,0,8.1,8.9,1.08
user_21469,Fake User 59,Twitter/X,259,40,80,0,0,0,1,9.5,2.9,0.41
user_21247,Fake User 60,LinkedIn,715,15,41,1,0,0,1,7.6,2.2,1.84
user_13296,Fake User 61,Twitter/X,620,17,71,1,1,0,0,21.8,0.6,0.02
user_17071,Fake User 62,Twitter/X,115,7,63,0,0,0,0,1.2,3.1,1.68
user_47611,Fake User 63,Instagram,88,5,126,0,0,0,1,21.4,0.2,1.45
user_56105,Fake User 64,LinkedIn,687,2,114,0,0,0,1,2.1,5.8,0.57
user_24374,Fake User 65,Twitter/X,135,0,70,0,1,0,0,13.3,6.7,0.18
user_83029,Fake User 66,LinkedIn,268,7,119,0,0,0,0,4.2,4.4,1.64
user_76336,Fake User 67,LinkedIn,506,19,179,0,0,0,1,19.4,7.7,0.8
user_76633,Fake User 68,Twitter/X,786,14,92,0,0,0,1,19.6,1.1,0.29
user_10086,Fake User 69,Twitter/X,498,5,152,1,0,0,0,10.3,9.3,0.6
user_70086,Fake User 70,Twitter/X,338,9,94,0,1,0,0,6.6,6.5,1.05
user_62299,Fake User 71,Facebook,262,35,154,0,1,0,0,23.7,9.1,0.41
user_40795,Fake User 72,Instagram,248,23,21,0,0,0,1,15.2,8.8,0.55
user_72050,Fake User 73,Facebook,364,30,163,0,0,0,0,1.3,7.7,0.61
user_13514,Fake User 74,Facebook,591,17,19,0,0,0,1,3.3,8.3,0.35
user_67084,Fake User 75,LinkedIn,383,5,49,0,0,0,0,10.0,8.5,0.75
user_86654,Fake User 76,LinkedIn,331,5,43,0,1,0,1,8.4,1.9,0.2
user_29754,Fake User 77,LinkedIn,193,36,5,1,1,0,0,4.6,8.0,1.15
user_79931,Fake User 78,Twitter/X,284,36,168,1,0,0,0,7.2,9.0,0.74
user_46162,Fake User 79,Facebook,392,33,22,1,0,0,0,13.2,8.7,0.92
user_73363,Fake User 80,Facebook,715,27,109,1,1,0,0,9.0,8.0,1.57
user_46887,Fake User 81,Instagram,286,2,42,1,0,0,1,19.6,6.4,0.19
user_26786,Fake User 82,Twitter/X,440,31,68,1,1,0,1,19.9,0.3,0.95
user_18184,Fake User 83,Facebook,291,38,30,0,0,0,0,8.7,0.5,0.89
user_14081,Fake User 84,Instagram,4,23,102,0,0,0,0,8.8,4.2,1.32
user_62210,Fake User 85,Facebook,238,37,71,0,0,0,1,13.4,5.3,0.05
user_19017,Fake User 86,LinkedIn,178,32,117,0,0,0,0,24.3,9.0,1.98
user_21164,Fake User 87,Facebook,532,38,139,0,0,0,0,16.8,5.9,0.24
user_28126,Fake User 88,Twitter/X,104,4,127,1,0,0,0,15.8,7.1,0.51
user_92803,Fake User 89,Instagram,505,37,2,1,0,0,0,9.1,7.5,1.54
user_73881,Fake User 90,Instagram,139,3,156,0,1,0,0,0.5,4.8,1.19
user_31933,Fake User 91,Facebook,775,0,87,0,1,0,1,15.7,9.9,1.83
user_69118,Fake User 92,LinkedIn,22,10,101,0,0,0,0,17.2,0.9,1.94
user_98261,Fake User 93,Facebook,772,3,49,0,0,0,0,17.8,9.6,1.43
user_70172,Fake User 94,LinkedIn,590,16,12,0,0,0,0,14.8,3.9,1.35
user_95031,Fake User 95,Facebook,695,13,147,1,0,0,0,22.3,1.1,1.29
user_94944,Fake User 96,LinkedIn,66,37,156,1,1,0,0,17.3,0.5,0.69
user_38265,Fake User 97,LinkedIn,665,31,89,0,0,0,0,24.2,2.2,0.06
user_32513,Fake User 98,Instagram,647,37,164,0,1,0,1,14.6,8.2,1.85
user_35252,Fake User 99,LinkedIn,647,16,70,0,1,0,0,8.5,7.8,1.63
user_65010,Fake User 100,Twitter/X,605,13,12,0,0,0,0,22.7,2.6,0.93
