username,display_name,platform,account_age_days,followers_count,following_count,posts_count,has_profile_pic,has_bio,is_verified,has_url,avg_likes_per_post,avg_retweets_per_post,posting_frequency_per_day,bio_length,username_digits_count,follower_following_ratio,engagement_rate,profile_completeness,label,is_bot
user_1045_0,User 1045,Twitter/X,833,16099,774,1371,1,1,0,1,987.35,230.14,1.36,125,0,20.7729,123.2733,1.8,0,0
user_1046_0,User 1046,Twitter/X,235,1216,348,999,1,1,0,1,29.53,3.84,0.53,67,0,3.4842,30.5446,1.8,0,0
user_1047_6,User 1047,Twitter/X,53,254,1989,3272,0,0,0,0,1.22,0.53,69.92,0,6,0.1276,29.2555,0.2,1,1
user_1048_6,User 1048,Twitter/X,38,246,3036,1046,0,0,0,1,0.75,0.19,109.46,0,6,0.081,4.7853,0.4,1,1
user_1049_0,User 1049,Twitter/X,3343,58939,356,5504,1,1,1,1,1361.33,230.6,7.26,100,0,165.0952,170.1935,1.8,0,0
user_1050_1,User 1050,Twitter/X,348,835,568,469,1,1,0,1,15.84,1.54,2.01,54,1,1.4675,10.6142,1.8,0,0
user_1051_8,User 1051,Twitter/X,59,211,3399,680,0,0,0,1,0.88,0.32,63.51,0,8,0.0621,4.8755,0.4,1,1
user_1052_2,User 1052,Twitter/X,825,417,465,711,1,1,0,1,20.0,1.22,1.56,104,2,0.8948,38.1695,1.8,0,0
user_1053_3,User 1053,Twitter/X,325,2,1971,1,1,0,0,0,0.0,0.0,0.0,0,3,0.001,0.0,0.5,1,1
user_1054_6,User 1054,Twitter/X,49,181,2896,212,0,1,0,0,0.5,0.32,71.43,27,6,0.0625,1.3279,0.5,1,1
user_1055_2,User 1055,Twitter/X,1190,431,446,172,1,1,0,0,32.79,5.75,0.13,39,2,0.9642,17.634,1.6,0,0
user_1056_0,User 1056,Twitter/X,548,899,540,771,1,1,0,0,38.56,1.29,0.26,58,0,1.6617,35.2433,1.6,0,0
user_1057_0,User 1057,Twitter/X,1114,51008,1251,2645,1,1,1,1,760.76,118.93,5.51,102,0,40.7412,51.782,1.8,0,0
user_1058_0,User 1058,Twitter/X,530,18489,1080,5828,1,1,0,1,515.31,318.6,1.14,111,0,17.1036,363.2682,1.8,0,0
user_1059_1,User 1059,Twitter/X,966,576,452,511,1,1,0,0,22.74,2.88,0.13,23,1,1.2715,25.24,0.8,0,0
user_1060_7,User 1060,Twitter/X,34,85,2828,1884,0,1,0,0,0.83,0.35,45.92,28,7,0.03,33.5177,0.5,1,1
user_1061_0,User 1061,Twitter/X,1742,1849,585,767,1,1,0,0,19.37,3.13,2.46,32,0,3.1553,10.6261,1.6,0,0
user_1062_0,User 1062,Twitter/X,2085,680,137,1014,1,1,0,0,30.96,6.64,1.7,18,0,4.9275,65.8728,0.8,0,0
user_1063_0,User 1063,Twitter/X,265,225,615,367,1,1,0,0,10.4,8.76,1.69,67,0,0.3653,45.3391,1.6,0,0
user_1064_1,User 1064,Twitter/X,363,718,537,401,1,1,0,1,33.8,3.41,1.14,82,1,1.3346,22.6545,1.8,0,0
user_1065_5,User 1065,Twitter/X,43,16382,4218,21,0,1,0,0,4.78,0.45,0.13,26,5,3.8829,0.0073,0.5,1,1
user_1066_7,User 1066,Twitter/X,73,201,3922,3883,0,0,0,0,1.48,0.76,19.14,0,7,0.0512,57.6683,0.2,1,1
user_1067_5,User 1067,Twitter/X,190,11,1839,1,1,0,0,0,0.0,0.0,0.0,0,5,0.006,0.0,0.5,1,1
user_1068_5,User 1068,Twitter/X,585,18,1001,1,1,0,0,0,0.0,0.0,0.0,0,5,0.018,0.0,0.5,1,1
user_1069_7,User 1069,Twitter/X,8,182,2305,356,0,1,0,0,1.09,0.05,48.11,18,7,0.0789,2.315,0.5,1,1
user_1070_1,User 1070,Twitter/X,906,762,969,730,1,1,0,1,26.52,2.48,1.61,2,1,0.7856,30.1185,1.0,0,0
user_1071_3,User 1071,Twitter/X,484,8,900,0,0,1,0,0,0.0,0.0,0.0,0,3,0.0089,0.0,0.5,1,1
user_1072_2,User 1072,Twitter/X,390,287,297,668,1,1,0,1,19.87,3.17,2.21,44,2,0.9631,60.7926,1.8,0,0
user_1073_0,User 1073,Twitter/X,1640,19138,849,4054,1,1,1,1,514.68,88.56,2.54,121,0,22.5153,146.5362,1.8,0,0
user_1074_0,User 1074,Twitter/X,167,394,1316,433,1,1,0,1,30.38,7.09,0.32,55,0,0.2992,48.8468,1.8,0,0
user_1075_6,User 1075,Twitter/X,86,260,4333,2229,1,0,0,0,0.56,0.21,90.96,0,6,0.06,8.3694,0.5,1,1
user_1076_0,User 1076,Twitter/X,318,938,273,1630,1,1,0,1,8.95,5.14,1.77,77,0,3.4234,33.3812,1.8,0,0
user_1077_5,User 1077,Twitter/X,94,5590,4314,38,0,1,0,1,2.78,0.01,0.18,28,5,1.2955,0.019,0.7,1,1
user_1078_4,User 1078,Twitter/X,42,18077,4083,29,1,0,0,1,2.94,0.96,0.2,0,4,4.4263,0.0078,0.7,1,1
user_1079_6,User 1079,Twitter/X,151,18,1406,1,0,1,0,0,0.0,0.0,0.0,0,6,0.0128,0.0,0.5,1,1
user_1080_0,User 1080,Twitter/X,818,1357,151,437,1,0,0,1,21.02,4.96,1.17,0,0,8.9276,9.9564,0.7,0,0
user_1081_6,User 1081,Twitter/X,313,9,410,2,0,0,0,0,0.0,0.0,0.0,0,6,0.0219,0.0,0.2,1,1
user_1082_1,User 1082,Twitter/X,1032,1270,458,252,1,1,0,1,25.18,3.09,0.65,33,1,2.7669,6.2177,1.8,0,0
user_1083_0,User 1083,Twitter/X,4637,20260,1233,3766,1,1,1,1,1917.67,286.02,1.92,119,0,16.4182,462.7732,1.8,0,0
user_1084_0,User 1084,Twitter/X,2149,1399,755,899,1,1,0,1,11.94,5.18,0.84,48,0,1.8505,14.3198,1.8,0,0
user_1085_0,User 1085,Twitter/X,180,451,66,1180,1,1,0,0,21.4,8.3,1.79,64,0,6.7313,99.2035,1.6,0,0
user_1086_2,User 1086,Twitter/X,436,320,554,598,1,1,0,0,12.14,6.3,0.18,88,2,0.5766,46.0888,1.6,0,0
user_1087_0,User 1087,Twitter/X,743,1009,708,1388,1,1,0,1,13.72,4.3,1.86,119,0,1.4231,30.6734,1.8,0,0
user_1088_0,User 1088,Twitter/X,347,280,361,3689,1,1,1,1,17.23,4.73,0.27,39,0,0.7735,350.3894,1.8,0,0
user_1089_0,User 1089,Twitter/X,616,832,834,180,1,1,0,1,26.63,3.42,2.26,24,0,0.9964,7.2324,1.0,0,0
user_1090_6,User 1090,Twitter/X,205,12,1299,2,1,0,0,0,0.0,0.0,0.0,0,6,0.0092,0.0,0.5,1,1
user_1091_3,User 1091,Twitter/X,189,4,1945,2,0,1,0,0,0.0,0.0,0.0,0,3,0.0021,0.0,0.5,1,1
user_1092_0,User 1092,Twitter/X,1756,410,77,815,1,1,0,1,26.86,2.08,0.41,63,0,5.2564,61.5117,1.8,0,0
user_1093_1,User 1093,Twitter/X,268,876,1033,462,1,1,0,0,15.43,7.65,2.13,74,1,0.8472,16.1884,1.6,0,0
user_1094_0,User 1094,Twitter/X,214,1438,558,390,1,1,0,0,13.29,3.52,0.46,87,0,2.5725,5.5099,1.6,0,0
user_1095_0,User 1095,Twitter/X,1305,64960,903,5416,1,1,1,1,4404.36,64.65,5.71,89,0,71.8584,377.9853,1.8,0,0
user_1096_0,User 1096,Twitter/X,2931,19749,1061,4060,1,1,1,1,1025.02,280.48,7.08,101,0,18.596,326.0293,1.8,0,0
user_1097_3,User 1097,Twitter/X,444,13,509,3,0,0,0,0,0.0,0.0,0.0,0,3,0.0255,0.0,0.2,1,1
user_1098_1,User 1098,Twitter/X,977,664,1039,564,1,1,0,0,26.38,4.64,1.93,57,1,0.6385,30.244,1.6,0,0
user_1099_1,User 1099,Twitter/X,749,1501,224,185,1,1,0,0,31.14,5.52,1.59,8,1,6.6711,5.1953,0.8,0,0
user_1100_0,User 1100,Twitter/X,1282,11298,595,1688,1,1,1,1,1115.26,274.06,6.35,79,0,18.9564,248.4986,1.8,0,0
user_1101_6,User 1101,Twitter/X,66,287,1563,535,0,1,0,1,0.37,0.74,21.33,28,6,0.1835,3.4366,0.7,1,1
user_1102_0,User 1102,Twitter/X,652,321,247,106,1,1,0,0,21.17,4.6,0.54,40,0,1.2944,9.9976,1.6,0,0
user_1103_7,User 1103,Twitter/X,14,174,2397,6689,0,1,0,0,0.07,0.51,114.9,20,7,0.0726,41.6629,0.5,1,1
user_1104_6,User 1104,Twitter/X,24,71,3638,1158,1,1,0,0,0.36,0.62,43.85,25,6,0.0195,25.7333,0.8,1,1
user_1105_4,User 1105,Twitter/X,25,17666,5611,12,1,1,0,0,0.93,0.02,0.34,28,4,3.1479,0.0007,0.8,1,1
user_1106_0,User 1106,Twitter/X,516,233,671,685,1,1,0,1,20.42,2.43,1.49,55,0,0.3467,74.0034,1.8,0,0
user_1107_7,User 1107,Twitter/X,21,103,2293,976,0,0,0,0,1.2,0.19,71.7,0,7,0.0449,14.8277,0.2,1,1
user_1108_4,User 1108,Twitter/X,70,8880,4398,19,1,1,0,1,3.01,0.73,0.26,11,4,2.0186,0.0096,1.0,1,1
user_1109_5,User 1109,Twitter/X,187,13,481,3,0,0,0,0,0.0,0.0,0.0,0,5,0.027,0.0,0.2,1,1
user_1110_7,User 1110,Twitter/X,34,202,4284,5339,0,0,0,0,1.49,0.74,71.7,0,7,0.0471,78.1125,0.2,1,1
user_1111_0,User 1111,Twitter/X,1672,14667,641,3801,1,1,1,1,1680.27,49.21,3.12,94,0,22.8458,460.9218,1.8,0,0
user_1112_0,User 1112,Twitter/X,2331,214,278,154,1,1,0,1,14.92,4.43,2.33,67,0,0.767,17.0331,1.8,0,0
user_1113_7,User 1113,Twitter/X,78,243,4265,826,0,0,0,0,1.04,0.28,117.44,0,7,0.057,5.4164,0.2,1,1
user_1114_4,User 1114,Twitter/X,16,259,4729,1435,1,1,0,0,0.75,0.32,30.37,14,4,0.0548,7.6717,0.8,1,1
user_1115_0,User 1115,Twitter/X,236,589,763,714,1,1,0,1,22.32,0.94,1.66,59,0,0.7709,29.2861,1.8,0,0
user_1116_6,User 1116,Twitter/X,128,13,1968,2,1,1,0,0,0.0,0.0,0.0,0,6,0.0066,0.0,0.8,1,1
user_1117_0,User 1117,Twitter/X,205,1599,546,376,1,1,0,1,9.65,3.08,2.23,30,0,2.9232,3.7154,1.0,0,0
user_1118_0,User 1118,Twitter/X,2609,76140,732,2331,1,1,0,1,1913.99,76.87,4.75,58,0,103.8745,63.302,1.8,0,0
user_1119_2,User 1119,Twitter/X,129,289,528,240,1,1,0,0,17.68,6.44,2.24,59,2,0.5463,25.291,1.6,0,0
user_1120_7,User 1120,Twitter/X,31,209,3031,687,1,0,0,1,0.69,0.51,84.23,0,7,0.0689,5.5941,0.7,1,1
user_1121_2,User 1121,Twitter/X,79,4034,3904,38,1,1,0,0,0.88,0.72,0.08,12,2,1.033,0.0218,0.8,1,1
user_1122_5,User 1122,Twitter/X,468,7,663,2,0,0,0,0,0.0,0.0,0.0,0,5,0.0105,0.0,0.2,1,1
user_1123_1,User 1123,Twitter/X,273,662,1154,1131,1,1,0,1,6.63,6.5,0.59,72,1,0.5732,33.4865,1.8,0,0
user_1124_5,User 1124,Twitter/X,70,3642,4037,48,1,0,0,1,3.21,0.58,0.39,0,5,0.9019,0.0576,0.7,1,1
user_1125_3,User 1125,Twitter/X,28,9193,3977,24,1,1,0,0,1.05,0.2,0.45,29,3,2.311,0.0038,0.8,1,1
user_1126_5,User 1126,Twitter/X,78,255,4716,681,1,0,0,1,1.09,0.62,83.9,0,5,0.0541,6.1982,0.7,1,1
user_1127_0,User 1127,Twitter/X,5513,148539,210,3874,1,1,0,1,1045.91,499.25,6.13,96,0,703.9763,53.3193,1.8,0,0
user_1128_0,User 1128,Twitter/X,1570,45500,969,1200,1,1,1,1,1413.68,397.95,2.12,104,0,46.9072,58.2734,1.8,0,0
user_1129_0,User 1129,Twitter/X,1157,624,463,336,1,1,0,0,27.57,2.28,1.43,28,0,1.3448,17.2731,0.8,0,0
user_1130_0,User 1130,Twitter/X,1794,336,128,1757,0,1,0,1,19.45,1.83,1.25,50,0,2.6047,120.4874,1.5,0,0
user_1131_3,User 1131,Twitter/X,73,16875,4592,35,1,0,0,1,2.74,0.08,0.08,0,3,3.6741,0.006,0.7,1,1
user_1132_7,User 1132,Twitter/X,65,238,3310,1260,0,0,0,0,0.13,0.18,77.81,0,7,0.0719,2.5833,0.2,1,1
user_1133_5,User 1133,Twitter/X,566,12,900,3,0,1,0,0,0.0,0.0,0.0,0,5,0.0133,0.0,0.5,1,1
user_1134_0,User 1134,Twitter/X,2697,34211,1365,6563,1,1,0,1,688.68,46.64,1.17,99,0,25.0447,150.0059,1.8,0,0
user_1135_0,User 1135,Twitter/X,925,151239,1031,2475,1,1,1,1,447.1,445.69,4.21,78,0,146.5494,21.9038,1.8,0,0
user_1136_0,User 1136,Twitter/X,671,14201,791,7233,1,1,1,1,1940.43,83.26,5.27,117,0,17.9306,1073.058,1.8,0,0
user_1137_4,User 1137,Twitter/X,115,4071,4213,7,1,0,0,0,4.58,0.25,0.17,0,4,0.9661,0.0087,0.5,1,1
user_1138_0,User 1138,Twitter/X,2299,13380,642,3143,1,1,1,1,379.93,230.05,3.88,124,0,20.8087,197.3107,1.8,0,0
user_1139_0,User 1139,Twitter/X,992,515,864,737,1,1,1,0,9.12,4.63,1.46,76,0,0.5954,26.2521,1.6,0,0
user_1140_0,User 1140,Twitter/X,216,617,306,349,1,1,0,1,19.41,2.77,1.4,62,0,2.0098,14.0899,1.8,0,0
user_1141_0,User 1141,Twitter/X,2450,333,385,2356,1,0,0,1,12.82,3.38,1.99,0,0,0.8627,138.1152,0.7,0,0
user_1142_0,User 1142,Twitter/X,263,1331,297,517,1,1,0,0,22.09,5.27,1.39,63,0,4.4664,12.6649,1.6,0,0
user_1143_0,User 1143,Twitter/X,975,461,1129,746,1,1,0,1,6.49,5.03,1.38,60,0,0.408,26.7236,1.8,0,0
user_1144_5,User 1144,Twitter/X,98,8713,4332,13,1,1,0,0,2.48,0.62,0.09,36,5,2.0108,0.0055,1.6,1,1
user_1145_0,User 1145,Twitter/X,4598,37043,678,1780,1,1,1,1,412.42,43.17,4.92,118,0,54.5552,23.9659,1.8,0,0
user_1146_0,User 1146,Twitter/X,2024,120481,858,2630,1,1,1,1,2251.53,234.56,5.97,103,0,140.2573,59.389,1.8,0,0
user_1147_5,User 1147,Twitter/X,44,113,3229,3623,0,0,0,1,1.24,0.08,40.19,0,5,0.035,44.493,0.4,1,1
user_1148_1,User 1148,Twitter/X,598,120,1175,1821,1,1,0,0,8.57,5.88,1.75,54,1,0.102,305.9581,1.6,0,0
user_1149_0,User 1149,Twitter/X,943,903,102,753,1,1,0,1,23.79,4.83,1.7,75,0,8.767,27.8627,1.8,0,0
user_1150_4,User 1150,Twitter/X,26,11887,4379,25,1,1,0,0,4.9,0.11,0.24,11,4,2.7139,0.0108,0.8,1,1
user_1151_6,User 1151,Twitter/X,240,17,655,2,0,0,0,0,0.0,0.0,0.0,0,6,0.0259,0.0,0.2,1,1
user_1152_1,User 1152,Twitter/X,2753,304,1089,894,1,0,0,0,32.71,0.29,0.82,0,1,0.2789,97.5779,0.5,0,0
user_1153_0,User 1153,Twitter/X,1985,1061,1005,2017,1,1,0,0,18.56,5.82,0.25,73,0,1.0547,57.3573,1.6,0,0
user_1154_0,User 1154,Twitter/X,2043,1332,838,3260,1,1,0,1,34.84,1.27,1.62,105,0,1.5876,91.417,1.8,0,0
user_1155_0,User 1155,Twitter/X,632,34266,1022,2889,1,1,1,1,1046.91,291.35,1.5,95,0,33.4956,137.39,1.8,0,0
user_1156_0,User 1156,Twitter/X,556,17542,403,2823,1,1,1,1,595.34,97.98,4.62,68,0,43.4208,127.3351,1.8,0,0
user_1157_0,User 1157,Twitter/X,126,504,301,747,1,1,0,0,26.61,3.54,1.28,55,0,1.6689,49.8345,1.6,0,0
user_1158_0,User 1158,Twitter/X,1135,129087,604,4636,1,1,1,1,3922.93,470.37,1.01,140,0,213.3669,174.6713,1.8,0,0
user_1159_4,User 1159,Twitter/X,20,7468,4572,35,0,0,0,0,2.16,0.12,0.24,0,4,1.6331,0.0112,0.2,1,1
user_1160_0,User 1160,Twitter/X,186,397,608,941,1,0,0,1,25.63,4.07,1.84,0,0,0.6519,79.8431,0.7,0,0
user_1161_5,User 1161,Twitter/X,133,10,370,0,0,0,0,0,0.0,0.0,0.0,0,5,0.027,0.0,0.2,1,1
user_1162_0,User 1162,Twitter/X,1533,12236,847,1815,1,1,1,1,1467.67,507.06,5.85,146,0,14.4292,368.1007,1.8,0,0
user_1163_0,User 1163,Twitter/X,412,357,1296,565,1,1,0,1,28.43,0.18,1.79,40,0,0.2753,45.4367,1.8,0,0
user_1164_0,User 1164,Twitter/X,684,120407,1244,1881,1,1,1,1,1415.7,144.11,1.5,101,0,96.7124,26.6184,1.8,0,0
user_1165_0,User 1165,Twitter/X,947,66523,311,5831,1,1,1,1,926.17,331.41,1.98,100,0,213.2147,139.2791,1.8,0,0
user_1166_0,User 1166,Twitter/X,4489,34242,795,1745,1,1,1,1,936.15,125.36,7.3,102,0,43.0176,60.4821,1.8,0,0
user_1167_0,User 1167,Twitter/X,2617,1008,421,632,1,1,0,1,21.58,6.65,2.1,71,0,2.3886,21.8475,1.8,0,0
user_1168_0,User 1168,Twitter/X,360,228,274,1316,1,1,0,1,3.4,5.7,1.59,113,0,0.8291,85.0515,1.8,0,0
user_1169_2,User 1169,Twitter/X,152,2829,644,958,1,1,0,1,22.97,2.76,2.37,61,2,4.386,9.6443,1.8,0,0
user_1170_0,User 1170,Twitter/X,2890,54425,448,1432,1,1,1,1,786.37,218.99,4.45,93,0,121.2138,32.2138,1.8,0,0
user_1171_5,User 1171,Twitter/X,105,62245,5096,39,1,1,0,0,0.99,0.85,0.25,35,5,12.2121,0.0017,1.6,1,1
user_1172_2,User 1172,Twitter/X,1839,493,618,2293,1,1,0,0,16.07,2.25,0.61,86,2,0.7964,95.4798,1.6,0,0
user_1173_0,User 1173,Twitter/X,5023,1178,766,1135,1,1,0,1,22.13,4.67,1.57,76,0,1.5359,30.2955,1.8,0,0
user_1174_0,User 1174,Twitter/X,596,36173,597,2937,1,1,0,1,2181.78,777.63,1.51,110,0,60.49,303.4137,1.8,0,0
user_1175_0,User 1175,Twitter/X,183,953,841,1297,1,1,0,0,24.64,3.11,0.87,26,0,1.1318,41.9554,0.8,0,0
user_1176_6,User 1176,Twitter/X,401,7,1330,1,1,0,0,0,0.0,0.0,0.0,0,6,0.0053,0.0,0.5,1,1
user_1177_0,User 1177,Twitter/X,1557,59012,760,3523,1,1,1,1,2274.78,447.36,4.87,100,0,77.5453,189.2151,1.8,0,0
user_1178_0,User 1178,Twitter/X,685,84659,792,1195,1,1,0,1,1391.67,53.97,6.24,97,0,106.7579,21.1674,1.8,0,0
user_1179_2,User 1179,Twitter/X,1102,640,932,331,1,1,0,0,20.1,3.89,1.14,59,2,0.686,14.3967,1.6,0,0
user_1180_0,User 1180,Twitter/X,1049,1045,1426,209,1,1,0,1,9.56,5.62,0.35,80,0,0.7323,4.156,1.8,0,0
user_1181_0,User 1181,Twitter/X,2633,1363,163,64,1,0,0,1,20.61,4.1,0.61,0,0,8.311,1.3518,0.7,0,0
user_1182_0,User 1182,Twitter/X,3045,22150,1091,6732,1,1,0,1,1465.42,375.42,3.21,86,0,20.2839,673.5525,1.8,0,0
user_1183_6,User 1183,Twitter/X,21,268,2505,1017,0,0,0,0,0.4,0.67,16.54,0,6,0.1069,6.5784,0.2,1,1
user_1184_1,User 1184,Twitter/X,135,1734,460,41,1,0,0,1,34.14,3.93,0.85,0,1,3.7614,0.9925,0.7,0,0
user_1185_6,User 1185,Twitter/X,49,293,1939,134,1,1,0,0,0.4,0.01,45.8,24,6,0.151,0.1914,0.8,1,1
user_1186_1,User 1186,Twitter/X,491,710,559,780,1,1,0,0,19.95,2.01,1.26,45,1,1.2679,26.2962,1.6,0,0
user_1187_0,User 1187,Twitter/X,571,168254,806,3561,1,1,0,1,746.24,103.85,2.37,116,0,208.4932,20.1895,1.8,0,0
user_1188_7,User 1188,Twitter/X,54,52,4338,2120,0,1,0,0,0.52,0.73,45.5,16,7,0.012,79.2,0.5,1,1
user_1189_7,User 1189,Twitter/X,10,52,1527,2093,0,0,0,1,0.79,0.19,67.56,0,7,0.034,46.204,0.4,1,1
user_1190_0,User 1190,Twitter/X,376,289,1955,108,1,1,0,0,21.58,4.24,0.68,25,0,0.1478,11.1948,0.8,0,0
user_1191_4,User 1191,Twitter/X,22,17606,4731,49,0,1,0,1,4.75,0.96,0.28,39,4,3.7206,0.0186,1.5,1,1
user_1192_1,User 1192,Twitter/X,638,297,935,813,1,0,0,0,8.37,1.0,0.87,0,1,0.3173,28.2913,0.5,0,0
user_1193_4,User 1193,Twitter/X,13,134,1602,1411,1,0,0,0,0.6,0.74,119.29,0,4,0.0836,21.7399,0.5,1,1
user_1194_6,User 1194,Twitter/X,36,123,4139,5112,1,0,0,0,1.18,0.2,74.23,0,6,0.0297,65.1368,0.5,1,1
